uranium	http://dbpedia.org/resource/Uranium
uranium hexafluoride	http://dbpedia.org/resource/Uranium_hexafluoride
uranium-isotope	http://dbpedia.org/resource/Isotopes_of_uranium
Uranus	http://dbpedia.org/resource/Uranus
Urbain Le Verrier	http://dbpedia.org/resource/Urbain_Le_Verrier
urine	http://dbpedia.org/resource/Urine
US	http://dbpedia.org/resource/United_States
US 	http://dbpedia.org/resource/United_States
US Army	http://dbpedia.org/resource/United_States_Army
US military	http://dbpedia.org/resource/United_States_Armed_Forces
US Navy	http://dbpedia.org/resource/United_States_Navy
US Virgin Islands	http://dbpedia.org/resource/United_States_Virgin_Islands
US-american	http://dbpedia.org/resource/Names_for_United_States_citizens
US-Navy	http://dbpedia.org/resource/United_States_Navy
USA	http://dbpedia.org/resource/United_States
USA	http://dbpedia.org/resource/Usa_(Germany)
usability	http://de.dbpedia.org/resource/Usability
USD	http://dbpedia.org/resource/United_States_dollar
use	http://dbpedia.org/resource/Use_case
use	http://dbpedia.org/resource/Used,_Huesca
use	http://dbpedia.org/resource/User_(computing)
use	http://dbpedia.org/resource/User_story
use	http://dbpedia.org/resource/Uzbekistan
USENET	http://dbpedia.org/resource/Usenet
user	http://dbpedia.org/resource/User_(computing)
users	http://dbpedia.org/resource/User_(computing)
USSR Academy of Sciences	http://dbpedia.org/resource/Russian_Academy_of_Sciences
Utah	http://dbpedia.org/resource/Utah
utilization	http://dbpedia.org/resource/Utilization
V.V. Dokuchaev	http://dbpedia.org/resource/Vasily_Dokuchaev
vacuum	http://dbpedia.org/resource/Vacuum
vacuum extractor	http://dbpedia.org/resource/Ventouse
vacuum tube	http://dbpedia.org/resource/Vacuum_tube
vacuum tubes	http://dbpedia.org/resource/Vacuum_tube
valence	http://dbpedia.org/resource/Valence_(chemistry)
Valerios Stais	http://dbpedia.org/resource/Valerios_Stais
Vall	http://dbpedia.org/resource/Vallø
valleys	http://dbpedia.org/resource/Valley
Valois	http://dbpedia.org/resource/House_of_Valois
value	http://dbpedia.org/resource/Value_(ethics)
value	http://dbpedia.org/resource/Value_(personal_and_cultural)
values	http://dbpedia.org/resource/Value_(personal_and_cultural)
valve	http://dbpedia.org/resource/Valve
vanadium	http://dbpedia.org/resource/Vanadium
Vanity Fair	http://dbpedia.org/resource/Vanity_Fair_(novel)
Vanity Fair: A Novel without a Hero	http://dbpedia.org/resource/Vanity_Fair_(novel)
Vannevar Bush	http://dbpedia.org/resource/Vannevar_Bush
Vannoccio Biringuccio	http://dbpedia.org/resource/Vannoccio_Biringuccio
variable star	http://dbpedia.org/resource/Variable_star
variables	http://dbpedia.org/resource/Variable_(mathematics)
variation	http://dbpedia.org/resource/Variation_(linguistics)
variation	http://dbpedia.org/resource/Variation_(music)
variety	http://dbpedia.org/resource/Variety_(magazine)
Varnhagen von Ense	http://dbpedia.org/resource/Karl_August_Varnhagen_von_Ense
Vasco Núñez de Balboa	http://dbpedia.org/resource/Vasco_Núñez_de_Balboa
vasodilator	http://dbpedia.org/resource/Vasodilation
Vassar College Observatory’s	http://dbpedia.org/resource/Vassar_College_Observatory
Vathypetro	http://dbpedia.org/resource/Vathypetro
Vatican Library	http://dbpedia.org/resource/Vatican_Library